Episode,TotalScore,PositiveReward,NegativeReward,TrashCollected,OverflowCount,WastedTrips,AvgDepotDeliveryPercent
1,69.66,102.47,-32.80,1503.77,7,0,60.33
2,81.04,95.20,-14.16,1433.78,4,6,73.92
3,88.25,105.16,-16.90,1665.34,3,4,59.88
4,105.93,113.27,-7.34,1690.13,3,9,66.22
5,83.81,103.23,-19.42,1474.67,5,4,40.96
6,87.29,94.88,-7.59,1464.54,2,6,62.47
7,106.70,116.73,-10.03,1733.24,3,1,91.18
8,109.20,115.27,-6.07,1646.65,2,3,68.61
9,100.63,106.25,-5.63,1563.24,3,6,55.55
10,93.11,107.87,-14.76,1574.22,4,6,72.75
11,93.19,108.66,-15.46,1552.24,5,3,86.24
12,91.81,105.31,-13.50,1565.75,5,4,54.81
13,114.02,116.80,-2.79,1717.74,3,0,68.70
14,101.40,108.70,-7.30,1554.78,2,6,57.48
15,92.40,100.84,-8.43,1520.52,4,7,67.07
16,105.71,117.77,-12.07,1694.17,5,3,62.14
17,78.10,97.89,-19.79,1517.06,3,4,64.33
18,105.03,109.96,-4.93,1663.24,2,6,73.05
19,109.02,117.93,-8.92,1855.71,3,1,76.97
20,95.66,104.71,-9.06,1495.86,4,4,49.86
21,83.22,103.24,-20.02,1549.45,4,3,96.34
22,79.47,97.86,-18.39,1524.53,3,3,56.14
23,84.65,99.37,-14.72,1566.76,3,2,90.71
24,77.99,94.15,-16.16,1400.59,4,4,73.49
25,85.01,100.99,-15.98,1657.00,5,1,90.47
26,84.40,100.83,-16.43,1440.42,3,1,60.02
27,78.64,102.59,-23.94,1533.71,4,6,68.49
28,92.41,107.63,-15.22,1544.74,4,6,51.16
29,88.87,109.15,-20.28,1652.09,6,4,72.49
30,98.51,106.30,-7.79,1551.49,3,4,71.68
31,80.92,97.26,-16.34,1389.43,5,7,57.89
32,95.10,110.04,-14.94,1776.48,5,4,62.09
33,118.61,123.73,-5.13,1779.00,1,2,83.95
34,91.52,109.04,-17.52,1557.68,4,4,47.20
35,101.81,116.45,-14.64,1755.91,4,3,60.25
