Episode,TotalScore,PositiveReward,NegativeReward,TrashCollected,OverflowCount,WastedTrips,AvgDepotDeliveryPercent
1,118.54,120.54,-2.01,1721.98,1,5,57.4
2,110.49,114.31,-3.83,1633.01,2,3,68.04
3,120.49,125.25,-4.77,1862.98,3,0,83.8
4,121.53,129.96,-8.44,1857.26,2,4,56.25
5,112.49,122.74,-10.26,1753.5,3,4,64.94
6,97.23,104.25,-7.03,1563.17,2,2,69.51
7,116.74,124.13,-7.39,1816.09,4,3,83.62
8,121.72,127.19,-5.48,1817.03,1,3,60.57
9,111.94,114.91,-2.97,1641.51,1,0,78.17
10,113.95,119.78,-5.84,1721.2,2,1,56.9
11,99.52,117.64,-18.12,1684.2,3,4,62.19
12,123.4,131.12,-7.72,1979.54,5,0,55.47
13,109.6,115.41,-5.81,1648.73,2,7,68.7
14,125.29,128.93,-3.64,1864.73,2,3,61.09
15,121.57,128.98,-7.42,1843.49,4,2,68.23
16,125.23,127.85,-2.63,1827.11,1,4,50.73
17,116.85,119.45,-2.61,1713.07,1,3,70.99
18,113.56,119.11,-5.56,1701.6,1,6,56.72
19,118.37,121.31,-2.95,1736.6,1,2,64.13
20,118.25,121.71,-3.47,1738.68,1,1,72.44
21,110.21,121.96,-11.76,1776.58,5,3,72.03
22,103.65,110.43,-6.79,1578.3,3,4,52.58
23,131.62,136.15,-4.54,1987.81,2,1,71.4
24,110.2,120.35,-10.16,1720.2,3,1,81.86
25,109.93,115.96,-6.03,1657.15,2,6,46.01
26,109.64,115.62,-5.99,1751.65,1,2,67.16
27,122.41,127.17,-4.76,1837.54,1,0,66.98
28,124.96,128.62,-3.67,1837.43,2,2,68.05
29,108.83,111.03,-2.2,1586.08,1,1,66.09
30,112.81,119.08,-6.27,1701.11,2,4,63
31,101.94,112.14,-10.21,1695.91,3,0,74.5
32,116.25,124.5,-8.26,1812.16,2,1,84.05
33,107.36,120.98,-13.62,1733.3,3,5,63.94
34,111.18,119.77,-8.6,1711.05,4,6,57.03
35,115.52,123.7,-8.19,1770.08,2,2,65.41
36,115.25,123.37,-8.12,1762.4,3,7,58.75
37,112.94,114.93,-2,1706.03,0,0,67.34
38,120.17,122.16,-2,1746.67,0,3,64.61
